Year,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15
1982,0.024,0.052,0.066,0.080,0.207,0.232,0.269,0.280,0.292,0.305,0.369,0.348,0.348,0.348,0.356,0.366
1983,0.024,0.052,0.066,0.080,0.171,0.227,0.257,0.276,0.270,0.243,0.390,0.348,0.348,0.348,0.356,0.366
1984,0.024,0.052,0.064,0.077,0.122,0.155,0.201,0.223,0.253,0.246,0.338,0.348,0.348,0.348,0.356,0.366
1985,0.024,0.052,0.066,0.081,0.148,0.140,0.193,0.236,0.242,0.289,0.247,0.241,0.251,0.314,0.346,0.321
1986,0.024,0.052,0.066,0.080,0.105,0.134,0.169,0.195,0.242,0.292,0.262,0.319,0.287,0.345,0.260,0.360
1987,0.024,0.052,0.066,0.080,0.105,0.126,0.150,0.171,0.218,0.254,0.281,0.336,0.244,0.328,0.245,0.373
1988,0.024,0.052,0.066,0.080,0.105,0.126,0.141,0.143,0.217,0.274,0.305,0.434,0.404,0.331,0.392,0.424
1989,0.024,0.052,0.066,0.080,0.105,0.103,0.131,0.159,0.127,0.210,0.252,0.381,0.400,0.421,0.448,0.516
1990,0.024,0.052,0.066,0.080,0.105,0.127,0.135,0.124,0.154,0.174,0.282,0.328,0.355,0.399,0.388,0.379
1991,0.024,0.052,0.066,0.080,0.121,0.137,0.143,0.144,0.150,0.182,0.189,0.303,0.323,0.354,0.365,0.330
1992,0.024,0.052,0.066,0.080,0.105,0.133,0.151,0.150,0.158,0.160,0.182,0.288,0.306,0.359,0.393,0.401
1993,0.024,0.052,0.066,0.080,0.105,0.153,0.166,0.173,0.172,0.170,0.206,0.238,0.308,0.327,0.376,0.421
1994,0.024,0.052,0.066,0.080,0.105,0.147,0.185,0.169,0.191,0.191,0.190,0.275,0.240,0.326,0.342,0.383
1995,0.024,0.052,0.059,0.066,0.119,0.096,0.152,0.166,0.178,0.187,0.197,0.222,0.215,0.246,0.237,0.298
1996,0.024,0.052,0.073,0.095,0.118,0.129,0.148,0.172,0.183,0.185,0.202,0.224,0.233,0.229,0.280,0.332
1997,0.024,0.052,0.066,0.080,0.112,0.124,0.162,0.169,0.184,0.188,0.208,0.241,0.229,0.268,0.286,0.266
1998,0.024,0.052,0.071,0.090,0.108,0.129,0.142,0.151,0.162,0.174,0.191,0.220,0.229,0.268,0.286,0.271
1999,0.024,0.052,0.081,0.110,0.120,0.130,0.160,0.170,0.180,0.190,0.210,0.241,0.233,0.268,0.286,0.274
2000,0.024,0.052,0.102,0.115,0.128,0.158,0.169,0.181,0.208,0.224,0.225,0.227,0.247,0.247,0.272,0.378
2001,0.020,0.048,0.077,0.109,0.133,0.160,0.169,0.176,0.187,0.205,0.220,0.241,0.265,0.244,0.266,0.308
2002,0.020,0.039,0.067,0.133,0.152,0.164,0.175,0.194,0.202,0.222,0.242,0.275,0.299,0.307,0.306,0.329
2003,0.022,0.060,0.089,0.114,0.142,0.160,0.175,0.178,0.194,0.205,0.226,0.249,0.267,0.286,0.278,0.317
2004,0.036,0.064,0.100,0.120,0.148,0.168,0.186,0.201,0.219,0.209,0.221,0.233,0.262,0.260,0.322,0.303
2005,0.023,0.053,0.071,0.114,0.136,0.158,0.184,0.196,0.197,0.202,0.222,0.230,0.247,0.281,0.268,0.344
2006,0.019,0.038,0.078,0.114,0.141,0.154,0.180,0.199,0.212,0.222,0.235,0.229,0.235,0.248,0.253,0.304
2007,0.024,0.048,0.067,0.092,0.130,0.150,0.163,0.186,0.210,0.233,0.248,0.256,0.264,0.286,0.310,0.347
2008,0.031,0.051,0.082,0.116,0.144,0.164,0.176,0.190,0.240,0.251,0.251,0.281,0.279,0.289,0.293,0.352
2009,0.025,0.047,0.070,0.107,0.156,0.177,0.187,0.203,0.225,0.252,0.270,0.292,0.306,0.322,0.316,0.370
2010,0.026,0.048,0.087,0.118,0.151,0.178,0.201,0.212,0.229,0.248,0.274,0.305,0.312,0.335,0.329,0.376
2011,0.028,0.051,0.079,0.112,0.151,0.172,0.192,0.211,0.223,0.243,0.261,0.288,0.305,0.324,0.329,0.330
2012,0.044,0.060,0.087,0.118,0.151,0.175,0.198,0.213,0.232,0.256,0.266,0.286,0.312,0.307,0.347,0.357
2013,0.040,0.058,0.102,0.130,0.154,0.172,0.195,0.228,0.243,0.249,0.248,0.288,0.288,0.321,0.348,0.355
2014,0.032,0.053,0.094,0.127,0.143,0.180,0.201,0.224,0.247,0.259,0.273,0.278,0.289,0.311,0.304,0.353
2015,0.021,0.082,0.083,0.137,0.144,0.176,0.200,0.219,0.235,0.256,0.279,0.285,0.297,0.313,0.312,0.348
2016,0.016,0.055,0.096,0.133,0.164,0.192,0.200,0.225,0.249,0.254,0.306,0.295,0.310,0.335,0.337,0.339
2017,0.016,0.039,0.077,0.098,0.124,0.173,0.199,0.216,0.249,0.266,0.286,0.307,0.333,0.334,0.337,0.370
2018,0.013,0.028,0.074,0.092,0.113,0.161,0.207,0.236,0.231,0.270,0.282,0.295,0.336,0.339,0.327,0.358
